,date,close,volume,stock
1,2020-11-06,20800,1889135,대한항공
2,2020-11-05,20500,1169872,대한항공
3,2020-11-04,20250,1497490,대한항공
4,2020-11-03,20650,943182,대한항공
5,2020-11-02,20100,995166,대한항공
9,2020-10-30,19950,1250837,대한항공
10,2020-10-29,20300,1678490,대한항공
11,2020-10-28,20800,1026033,대한항공
12,2020-10-27,20750,1602797,대한항공
13,2020-10-26,21400,1656051,대한항공
16,2020-10-23,21150,1437052,대한항공
17,2020-10-22,21000,1326700,대한항공
18,2020-10-21,21000,2511829,대한항공
19,2020-10-20,20450,949896,대한항공
20,2020-10-19,20550,1352957,대한항공
24,2020-10-16,20350,1063705,대한항공
25,2020-10-15,20700,1736304,대한항공
26,2020-10-14,20500,1687204,대한항공
27,2020-10-13,20450,2550228,대한항공
28,2020-10-12,20650,4863798,대한항공
31,2020-10-08,19750,2323815,대한항공
32,2020-10-07,19750,1791908,대한항공
33,2020-10-06,19800,4122388,대한항공
34,2020-10-05,19300,1872158,대한항공
35,2020-09-29,18850,922389,대한항공
39,2020-09-28,18800,966495,대한항공
40,2020-09-25,18350,895129,대한항공
41,2020-09-24,18000,1234760,대한항공
42,2020-09-23,18550,1071051,대한항공
43,2020-09-22,18400,1277582,대한항공
46,2020-09-21,18850,1060962,대한항공
47,2020-09-18,18800,1085793,대한항공
48,2020-09-17,18900,1665379,대한항공
49,2020-09-16,19200,1827006,대한항공
50,2020-09-15,19150,2734410,대한항공
54,2020-09-14,18650,1374483,대한항공
55,2020-09-11,18300,885572,대한항공
56,2020-09-10,18550,1168028,대한항공
57,2020-09-09,18400,1336197,대한항공
58,2020-09-08,18750,1345846,대한항공
61,2020-09-07,18700,1779499,대한항공
62,2020-09-04,18600,2084703,대한항공
63,2020-09-03,18500,1841239,대한항공
64,2020-09-02,18350,1617605,대한항공
65,2020-09-01,17950,1103462,대한항공
69,2020-08-31,17650,1401275,대한항공
70,2020-08-28,17800,1288063,대한항공
71,2020-08-27,17750,1111225,대한항공
72,2020-08-26,18000,1362809,대한항공
73,2020-08-25,18200,1366044,대한항공
76,2020-08-24,17750,1318134,대한항공
77,2020-08-21,17900,1068162,대한항공
78,2020-08-20,17550,2206150,대한항공
79,2020-08-19,18400,1589697,대한항공
80,2020-08-18,18250,3203963,대한항공
84,2020-08-14,19500,2161608,대한항공
85,2020-08-13,19700,4559089,대한항공
86,2020-08-12,19550,8913015,대한항공
87,2020-08-11,18900,3632851,대한항공
88,2020-08-10,18750,3821098,대한항공
91,2020-08-07,19100,15844472,대한항공
92,2020-08-06,18100,5637601,대한항공
93,2020-08-05,17250,1410989,대한항공
94,2020-08-04,17350,1176523,대한항공
95,2020-08-03,17150,1738510,대한항공
99,2020-07-31,17400,1733960,대한항공
100,2020-07-30,17400,1859030,대한항공
101,2020-07-29,17500,4289436,대한항공
102,2020-07-28,17900,5418736,대한항공
103,2020-07-27,17600,3293141,대한항공
106,2020-07-24,18400,820389,대한항공
107,2020-07-23,18600,1328994,대한항공
108,2020-07-22,19100,1480733,대한항공
109,2020-07-21,19450,3701663,대한항공
110,2020-07-20,18050,897966,대한항공
114,2020-07-17,18100,832890,대한항공
115,2020-07-16,18200,2300332,대한항공
116,2020-07-15,17500,1397443,대한항공
117,2020-07-14,17000,767065,대한항공
118,2020-07-13,16850,766407,대한항공
121,2020-07-10,16650,1037508,대한항공
122,2020-07-09,17150,972190,대한항공
123,2020-07-08,16800,1362072,대한항공
124,2020-07-07,17200,1517326,대한항공
125,2020-07-06,17750,818899,대한항공
129,2020-07-03,17800,711322,대한항공
130,2020-07-02,17750,523526,대한항공
131,2020-07-01,17650,623031,대한항공
132,2020-06-30,17350,1378688,대한항공
133,2020-06-29,17450,797297,대한항공
136,2020-06-26,17850,704995,대한항공
137,2020-06-25,17600,1041061,대한항공
138,2020-06-24,18050,1930870,대한항공
139,2020-06-23,18500,1343332,대한항공
140,2020-06-22,19000,752269,대한항공
144,2020-06-19,19450,856401,대한항공
145,2020-06-18,19300,755779,대한항공
146,2020-06-17,19250,823177,대한항공
147,2020-06-16,19750,870917,대한항공
148,2020-06-15,19000,1311311,대한항공
151,2020-06-12,19800,1765215,대한항공
152,2020-06-11,20450,2086872,대한항공
153,2020-06-10,20700,1440026,대한항공
154,2020-06-09,21100,1770592,대한항공
155,2020-06-08,20700,2366521,대한항공
159,2020-06-05,20600,7552462,대한항공
160,2020-06-04,22900,3648385,대한항공
161,2020-06-03,22350,3549822,대한항공
162,2020-06-02,21100,1373059,대한항공
163,2020-06-01,20850,1139791,대한항공
166,2020-05-29,20700,1361902,대한항공
167,2020-05-28,21400,3166883,대한항공
168,2020-05-27,20950,3409841,대한항공
169,2020-05-26,20250,2295923,대한항공
170,2020-05-25,19350,878850,대한항공
174,2020-05-22,19600,1217839,대한항공
175,2020-05-21,20100,2526004,대한항공
176,2020-05-20,19600,1486271,대한항공
177,2020-05-19,19500,4285639,대한항공
178,2020-05-18,18050,733920,대한항공
181,2020-05-15,18200,1008564,대한항공
182,2020-05-14,18900,1839940,대한항공
183,2020-05-13,18200,1111367,대한항공
184,2020-05-12,18300,1293534,대한항공
185,2020-05-11,18850,894652,대한항공
189,2020-05-08,19200,861938,대한항공
190,2020-05-07,19150,2448966,대한항공
191,2020-05-06,18750,1492011,대한항공
192,2020-05-04,19100,1404498,대한항공
193,2020-04-29,19800,1195736,대한항공
196,2020-04-28,19700,1183182,대한항공
197,2020-04-27,19900,2479832,대한항공
198,2020-04-24,19800,2424059,대한항공
199,2020-04-23,19750,1799306,대한항공
200,2020-04-22,19250,2252530,대한항공
204,2020-04-21,19150,3995839,대한항공
205,2020-04-20,19550,6811234,대한항공
206,2020-04-17,20900,10793150,대한항공
207,2020-04-16,19600,1268180,대한항공
208,2020-04-14,19600,1093672,대한항공
211,2020-04-13,19550,1407900,대한항공
212,2020-04-10,20350,1814721,대한항공
213,2020-04-09,19950,2675324,대한항공
214,2020-04-08,19100,1552064,대한항공
215,2020-04-07,19150,2383781,대한항공
219,2020-04-06,18700,2222663,대한항공
220,2020-04-03,18650,1199424,대한항공
221,2020-04-02,19000,1945272,대한항공
222,2020-04-01,18850,5527052,대한항공
223,2020-03-31,18700,1312182,대한항공
