,date,close,volume,stock
1,2020-11-06,60000,8030727,삼성전자
2,2020-11-05,60300,20639475,삼성전자
3,2020-11-04,58500,21718561,삼성전자
4,2020-11-03,58800,14950919,삼성전자
5,2020-11-02,57400,20489076,삼성전자
9,2020-10-30,56600,26907844,삼성전자
10,2020-10-29,58100,22636966,삼성전자
11,2020-10-28,59000,14428882,삼성전자
12,2020-10-27,59800,17260416,삼성전자
13,2020-10-26,60400,13268226,삼성전자
16,2020-10-23,60200,9322232,삼성전자
17,2020-10-22,60100,14294095,삼성전자
18,2020-10-21,60900,15703443,삼성전자
19,2020-10-20,60900,19326115,삼성전자
20,2020-10-19,60000,14474985,삼성전자
24,2020-10-16,59500,16554190,삼성전자
25,2020-10-15,60000,17756232,삼성전자
26,2020-10-14,60900,16086716,삼성전자
27,2020-10-13,60900,19247631,삼성전자
28,2020-10-12,60400,16145837,삼성전자
31,2020-10-08,59700,24589924,삼성전자
32,2020-10-07,59900,14861838,삼성전자
33,2020-10-06,59000,14463826,삼성전자
34,2020-10-05,58700,20228289,삼성전자
35,2020-09-29,58200,15503563,삼성전자
39,2020-09-28,58200,12614080,삼성전자
40,2020-09-25,57900,11444683,삼성전자
41,2020-09-24,57800,17564020,삼성전자
42,2020-09-23,58600,20111398,삼성전자
43,2020-09-22,58200,20830381,삼성전자
46,2020-09-21,59200,15140387,삼성전자
47,2020-09-18,59300,18884571,삼성전자
48,2020-09-17,59500,25108356,삼성전자
49,2020-09-16,61000,17041444,삼성전자
50,2020-09-15,61000,17877075,삼성전자
54,2020-09-14,60400,20648281,삼성전자
55,2020-09-11,59000,16017098,삼성전자
56,2020-09-10,59200,29923293,삼성전자
57,2020-09-09,58400,30597399,삼성전자
58,2020-09-08,58700,31517520,삼성전자
61,2020-09-07,56500,18685880,삼성전자
62,2020-09-04,55600,22139109,삼성전자
63,2020-09-03,56400,28384920,삼성전자
64,2020-09-02,54400,16905723,삼성전자
65,2020-09-01,54200,19363117,삼성전자
69,2020-08-31,54000,32671367,삼성전자
70,2020-08-28,55400,14619888,삼성전자
71,2020-08-27,55600,16196568,삼성전자
72,2020-08-26,56400,17651593,삼성전자
73,2020-08-25,56400,14021705,삼성전자
76,2020-08-24,56100,15055896,삼성전자
