,2015/12,2016/12,2017/12,2018/12,2019/12,2020/12(E),2021/12(E),2022/12(E),stock
매출액,2006535.0,2018667.0,2395754.0,2437714.0,2304009.0,2388064.0,2615902.0,2800634.0,삼성전자
영업이익,264134.0,292407.0,536450.0,588867.0,277685.0,372393.0,465164.0,548498.0,삼성전자
영업이익(발표기준),264134.0,292407.0,536450.0,588867.0,277685.0,0.0,0.0,0.0,삼성전자
당기순이익,190601.0,227261.0,421867.0,443449.0,217389.0,279829.0,353435.0,418121.0,삼성전자
지배주주순이익,186946.0,224157.0,413446.0,438909.0,215051.0,277341.0,350214.0,414319.0,삼성전자
비지배주주순이익,3655.0,3104.0,8422.0,4540.0,2338.0,0.0,0.0,0.0,삼성전자
자산총계,2421795.0,2621743.0,3017521.0,3393572.0,3525645.0,3757402.0,4056352.0,4418639.0,삼성전자
부채총계,631197.0,692113.0,872607.0,916041.0,896841.0,928824.0,986411.0,1036838.0,삼성전자
자본총계,1790598.0,1929630.0,2144914.0,2477532.0,2628804.0,2828578.0,3069942.0,3381802.0,삼성전자
지배주주지분,1728768.0,1864243.0,2072134.0,2400690.0,2549155.0,2745300.0,2986764.0,3297408.0,삼성전자
비지배주주지분,61830.0,65387.0,72780.0,76842.0,79649.0,83278.0,83178.0,84394.0,삼성전자
자본금,8975.0,8975.0,8975.0,8975.0,8975.0,8979.0,8979.0,8979.0,삼성전자
부채비율,35.25,35.87,40.68,36.97,34.12,32.84,32.13,30.66,삼성전자
유보율,20659.47,21757.56,23681.42,26648.22,28302.4,0.0,0.0,0.0,삼성전자
영업이익률,13.16,14.49,22.39,24.16,12.05,15.59,17.78,19.58,삼성전자
지배주주순이익률,9.32,11.1,17.26,18.0,9.33,11.61,13.39,14.79,삼성전자
ROA,8.07,9.01,14.96,13.83,6.28,7.68,9.05,9.87,삼성전자
ROE,11.16,12.48,21.01,19.63,8.69,10.48,12.22,13.19,삼성전자
EPS,2198.0,2735.0,5421.0,6024.0,3166.0,4083.0,5156.0,6100.0,삼성전자
BPS,21903.0,24340.0,28971.0,35342.0,37528.0,40416.0,43970.0,48544.0,삼성전자
DPS,420.0,570.0,850.0,1416.0,1416.0,1576.0,1560.0,1543.0,삼성전자
PER,11.47,13.18,9.4,6.42,17.63,14.4,11.4,9.64,삼성전자
PBR,1.15,1.48,1.76,1.1,1.49,1.45,1.34,1.21,삼성전자
발행주식수,7364967.0,7033967.0,6454925.0,5969783.0,5969783.0,0.0,0.0,0.0,삼성전자
배당수익률,1.67,1.58,1.67,3.66,2.54,0.0,0.0,0.0,삼성전자
