,date,close,volume,stock
1,2020-11-05,268500,571106,셀트리온
2,2020-11-04,270500,1326699,셀트리온
3,2020-11-03,259000,1016373,셀트리온
4,2020-11-02,244500,486328,셀트리온
5,2020-10-30,241000,825115,셀트리온
9,2020-10-29,253000,986149,셀트리온
10,2020-10-28,242500,426527,셀트리온
11,2020-10-27,239000,687981,셀트리온
12,2020-10-26,238000,945429,셀트리온
13,2020-10-23,238000,723304,셀트리온
16,2020-10-22,237500,831654,셀트리온
17,2020-10-21,244000,625587,셀트리온
18,2020-10-20,245500,1215368,셀트리온
19,2020-10-19,255500,517772,셀트리온
20,2020-10-16,256500,543139,셀트리온
24,2020-10-15,255000,627073,셀트리온
25,2020-10-14,262000,585306,셀트리온
26,2020-10-13,270500,541433,셀트리온
27,2020-10-12,273500,774825,셀트리온
28,2020-10-08,262000,874989,셀트리온
31,2020-10-07,260500,492558,셀트리온
32,2020-10-06,258000,556717,셀트리온
33,2020-10-05,254500,639048,셀트리온
34,2020-09-29,257500,686838,셀트리온
35,2020-09-28,255000,1037814,셀트리온
39,2020-09-25,258500,1251340,셀트리온
40,2020-09-24,250000,1321525,셀트리온
41,2020-09-23,266000,1302410,셀트리온
42,2020-09-22,268000,1337964,셀트리온
43,2020-09-21,278500,1074281,셀트리온
46,2020-09-18,291500,754705,셀트리온
47,2020-09-17,291500,685924,셀트리온
48,2020-09-16,297000,438867,셀트리온
49,2020-09-15,296000,413089,셀트리온
50,2020-09-14,296000,508097,셀트리온
54,2020-09-11,298500,1022761,셀트리온
55,2020-09-10,298500,1246969,셀트리온
56,2020-09-09,298500,2482466,셀트리온
57,2020-09-08,318000,2698135,셀트리온
58,2020-09-07,305000,1016576,셀트리온
61,2020-09-04,294000,612252,셀트리온
62,2020-09-03,299500,497412,셀트리온
63,2020-09-02,300500,547657,셀트리온
64,2020-09-01,298000,668602,셀트리온
65,2020-08-31,297000,1079872,셀트리온
69,2020-08-28,304500,557944,셀트리온
70,2020-08-27,304500,722862,셀트리온
71,2020-08-26,310500,1262116,셀트리온
72,2020-08-25,306500,600050,셀트리온
73,2020-08-24,310000,814190,셀트리온
76,2020-08-21,301000,1037558,셀트리온
77,2020-08-20,305000,1708375,셀트리온
78,2020-08-19,304000,880282,셀트리온
79,2020-08-18,304000,1163773,셀트리온
80,2020-08-14,304500,1037943,셀트리온
84,2020-08-13,308500,1754825,셀트리온
85,2020-08-12,302000,1121637,셀트리온
86,2020-08-11,314000,693402,셀트리온
87,2020-08-10,315000,1221244,셀트리온
88,2020-08-07,314500,963799,셀트리온
91,2020-08-06,311000,832683,셀트리온
92,2020-08-05,315000,1063211,셀트리온
93,2020-08-04,302000,891486,셀트리온
94,2020-08-03,299000,1521548,셀트리온
95,2020-07-31,296500,823746,셀트리온
99,2020-07-30,300000,2723830,셀트리온
100,2020-07-29,301500,1903406,셀트리온
101,2020-07-28,317500,666062,셀트리온
102,2020-07-27,317000,507367,셀트리온
103,2020-07-24,319000,789309,셀트리온
106,2020-07-23,322000,707386,셀트리온
107,2020-07-22,321500,748686,셀트리온
108,2020-07-21,321500,1217900,셀트리온
109,2020-07-20,323000,1391199,셀트리온
110,2020-07-17,328000,1241089,셀트리온
114,2020-07-16,315000,734412,셀트리온
115,2020-07-15,316000,972746,셀트리온
116,2020-07-14,324000,842821,셀트리온
117,2020-07-13,329000,775224,셀트리온
118,2020-07-10,324500,1042448,셀트리온
121,2020-07-09,324000,1637528,셀트리온
122,2020-07-08,311500,709785,셀트리온
123,2020-07-07,308500,1003857,셀트리온
124,2020-07-06,305500,759792,셀트리온
125,2020-07-03,309500,760954,셀트리온
129,2020-07-02,308500,1134489,셀트리온
130,2020-07-01,297500,1012051,셀트리온
131,2020-06-30,306000,1517136,셀트리온
132,2020-06-29,311000,1323237,셀트리온
133,2020-06-26,312500,927851,셀트리온
136,2020-06-25,316000,918369,셀트리온
137,2020-06-24,319000,1956218,셀트리온
138,2020-06-23,318500,4485322,셀트리온
139,2020-06-22,297000,1166332,셀트리온
140,2020-06-19,291500,1087788,셀트리온
144,2020-06-18,287500,784181,셀트리온
145,2020-06-17,289500,1647069,셀트리온
146,2020-06-16,293500,2041007,셀트리온
147,2020-06-15,274000,3141867,셀트리온
148,2020-06-12,297500,3865779,셀트리온
151,2020-06-11,288000,3934710,셀트리온
152,2020-06-10,268500,1067682,셀트리온
153,2020-06-09,263500,1345656,셀트리온
154,2020-06-08,256000,1267019,셀트리온
155,2020-06-05,256500,2899453,셀트리온
159,2020-06-04,247000,3037387,셀트리온
160,2020-06-03,227500,1813508,셀트리온
161,2020-06-02,224500,1115810,셀트리온
162,2020-06-01,227500,3410255,셀트리온
163,2020-05-29,213500,660343,셀트리온
166,2020-05-28,211000,716459,셀트리온
167,2020-05-27,213000,591712,셀트리온
168,2020-05-26,214500,482616,셀트리온
169,2020-05-25,215000,371033,셀트리온
170,2020-05-22,216000,637408,셀트리온
174,2020-05-21,218500,530139,셀트리온
175,2020-05-20,218500,661979,셀트리온
176,2020-05-19,213000,709054,셀트리온
177,2020-05-18,213000,988984,셀트리온
178,2020-05-15,217500,827539,셀트리온
181,2020-05-14,217000,959332,셀트리온
182,2020-05-13,215000,763378,셀트리온
183,2020-05-12,211000,982920,셀트리온
184,2020-05-11,210500,695048,셀트리온
185,2020-05-08,210500,895729,셀트리온
189,2020-05-07,204000,402708,셀트리온
190,2020-05-06,207000,603987,셀트리온
191,2020-05-04,203500,860366,셀트리온
192,2020-04-29,210500,654481,셀트리온
193,2020-04-28,209000,726697,셀트리온
196,2020-04-27,212500,486289,셀트리온
197,2020-04-24,211500,1076656,셀트리온
198,2020-04-23,214000,634952,셀트리온
199,2020-04-22,214000,1123888,셀트리온
200,2020-04-21,212000,1791508,셀트리온
204,2020-04-20,212000,913363,셀트리온
205,2020-04-17,211000,1786490,셀트리온
206,2020-04-16,215000,775217,셀트리온
207,2020-04-14,216000,1273985,셀트리온
208,2020-04-13,215500,3635512,셀트리온
211,2020-04-10,209500,1741966,셀트리온
212,2020-04-09,210500,1348849,셀트리온
213,2020-04-08,207000,1090103,셀트리온
214,2020-04-07,210000,2206806,셀트리온
215,2020-04-06,209000,2778989,셀트리온
219,2020-04-03,196000,4151869,셀트리온
220,2020-04-02,195000,8664631,셀트리온
221,2020-04-01,198000,5208192,셀트리온
222,2020-03-31,229000,11131989,셀트리온
223,2020-03-30,185000,937759,셀트리온
