,title
0,"하나투어, ‘안심여행 체크리스트’ 마련"
1,관광스타트업 9곳과 하나투어 협업 검토
2,몸과 마음 치유할 수 있는 하나투어 '가을 쉼표 여행'
3,여행사 고사 위기…격리 면제 '트래블 버블' 가능할까
4,(사)한국관광개발연구원 ‘대한민국 테마여행 10선’ 3일부터 판매 재개
5,"벼랑 끝 여행업계, '트래블 버블' 도입 촉구… ""시기상조"" 우려도"
6,힘빠진 경기민감株…코로나 재확산에 강세 꺾이나
7,"망하고 싶어도 못 망한다, 여행사 4%만 문닫은 '딱한 사연'"
8,"한국호텔관광실용전문학교, 높은 스펙완성으로 취업 경쟁력 확보"
9,"포스트 코로나 시대, 관광산업 정보 공유…상생발전 도모"
10,"여행사 폐업, 왜 줄었나했더니…'살아만 있는' 좀비여행사 많다"
11,"최대 100만원 캐시백에서 해외직구 즉시 할인까지…11월, 카드 혜택 터진다"
12,"""아웃바운드 회복돼야 업계도 회복, 단계별 여행 제한 조치 완화가 중요"""
13,대구 여행업계 고사…40년 이어온 무궁화관광 편의점 전환
14,[Travel & Leisure] 올려다보니 알록달록…내려다봐도 울긋불긋
15,무급휴직 지원 만료 앞두고 위기감 고조… '위기의 12월'
16,"평판의 힘…오뚜기, 2년 연속 1위"
17,힘빠진 경기민감株…코로나 재확산에 강세 꺾이나
18,경기도의 숨겨진 명소와 이야기를 찾는 '#경기도인생여행' 진행
19,"인터파크, 개인정보 유출 1인당 10만원 배상"
20,"[여행산업 회생과제]② 여행死, C(코로나)보다 D(디지털)가 문제야"
21,“미래 관광산업 핵심은 디지털 기술의 활용”
22,"[여행산업 회생포럼] ""여행업계 보릿고개 길어질 것...정부지원 가장 절실"""
23,"경북도, 러시아·베트남 환자 유치 '비대면 의료관광' 설명회"
24,"한국문화영상고등학교, ""경기 북부 우수학교의 자부심···뚜렷한 진학·취업..."
25,"경북도, 온택트 홍보로 외국인환자 겨냥 ‘유치 전력’"
26,"[금일 증권업계 주요기사] 윤석열 관련주 서연, 차기 대선 주자 선호도에 ↑…..."
27,"국제보석감정사 이승규 대표 ‘사실, 당신이 보석입니다’ 출간"
28,[여행산업 회생포럼] 고사 직전 여행업계…민·관 전문가 초청 생존전략 모색
29,"소비심리 반등, 얼어붙은 유통업 기지개 펼까?"
30,"경북도, 온택트 홍보로 외국인환자 겨냥 ‘유치 전력’"
31,"道, 러시아·베트남 환자 유치 의료관광 설명회 개최"
32,"[금일 증권업계 주요기사] 윤석열 관련주 서연, 차기 대선 주자 선호도에 ↑…..."
33,"국제보석감정사 이승규 대표 ‘사실, 당신이 보석입니다’ 출간"
34,[여행산업 회생포럼] 고사 직전 여행업계…민·관 전문가 초청 생존전략 모색
35,"소비심리 반등, 얼어붙은 유통업 기지개 펼까?"
36,"한국여행업협회, 국회의원회관서 ‘여행업계 코로나19 위기극복 방안 토론회’..."
37,"[메트로 트래블] 여행업협회, ""이대로 여행산업을 방치 할 것인가"""
38,"[메트로 트래블] 소양여행사, ""골프 한길만 27년…고객과 약속은 신뢰 그자체..."
39,"<코로나시대 ‘언택트 경제’>‘마스크 원료’ 화학업계, 역대급 매출… 관광..."
40,"경북도, 온택트 홍보로 외국인환자 겨냥 ‘유치 전력’"
41,"道, 러시아·베트남 환자 유치 의료관광 설명회 개최"
42,"[금일 증권업계 주요기사] 윤석열 관련주 서연, 차기 대선 주자 선호도에 ↑…..."
43,"국제보석감정사 이승규 대표 ‘사실, 당신이 보석입니다’ 출간"
44,[여행산업 회생포럼] 고사 직전 여행업계…민·관 전문가 초청 생존전략 모색
45,"소비심리 반등, 얼어붙은 유통업 기지개 펼까?"
46,"한국여행업협회, 국회의원회관서 ‘여행업계 코로나19 위기극복 방안 토론회’..."
47,"[메트로 트래블] 여행업협회, ""이대로 여행산업을 방치 할 것인가"""
48,"[메트로 트래블] 소양여행사, ""골프 한길만 27년…고객과 약속은 신뢰 그자체..."
49,"<코로나시대 ‘언택트 경제’>‘마스크 원료’ 화학업계, 역대급 매출… 관광..."
50,"경북도, 온택트 홍보로 외국인환자 겨냥 ‘유치 전력’"
51,"道, 러시아·베트남 환자 유치 의료관광 설명회 개최"
52,"[금일 증권업계 주요기사] 윤석열 관련주 서연, 차기 대선 주자 선호도에 ↑…..."
53,"국제보석감정사 이승규 대표 ‘사실, 당신이 보석입니다’ 출간"
