,2015/12,2016/12,2017/12,2018/12,2019/12,2020/12(E),2021/12(E),2022/12(E),stock
매출액,4594.0,5955.0,8043.0,8283.0,7632.0,1415.0,3479.0,6241.0,하나투어
영업이익,447.0,209.0,411.0,249.0,59.0,-1644.0,-389.0,408.0,하나투어
영업이익(발표기준),447.0,209.0,411.0,249.0,59.0,0.0,0.0,0.0,하나투어
당기순이익,342.0,75.0,129.0,106.0,-120.0,-1967.0,-481.0,236.0,하나투어
지배주주순이익,317.0,80.0,132.0,87.0,-80.0,-1554.0,-352.0,221.0,하나투어
비지배주주순이익,24.0,-5.0,-3.0,18.0,-39.0,0.0,0.0,0.0,하나투어
자산총계,5044.0,5202.0,6282.0,7161.0,10076.0,7751.0,8479.0,9272.0,하나투어
부채총계,2871.0,3082.0,3824.0,4762.0,7897.0,6247.0,7472.0,8064.0,하나투어
자본총계,2173.0,2121.0,2457.0,2399.0,2179.0,1504.0,1006.0,1208.0,하나투어
지배주주지분,1969.0,1895.0,2089.0,1999.0,1808.0,1494.0,1083.0,1269.0,하나투어
비지배주주지분,204.0,226.0,368.0,400.0,371.0,9.0,-76.0,-61.0,하나투어
자본금,58.0,58.0,58.0,58.0,58.0,70.0,70.0,70.0,하나투어
부채비율,132.11,145.31,155.63,198.53,362.44,415.47,742.53,667.73,하나투어
유보율,3904.1,3747.41,4081.78,3926.26,3597.43,0.0,0.0,0.0,하나투어
영업이익률,9.74,3.51,5.11,3.0,0.78,-116.2,-11.17,6.54,하나투어
지배주주순이익률,6.91,1.35,1.64,1.06,-1.05,-109.8,-10.12,3.55,하나투어
ROA,7.25,1.47,2.25,1.58,-1.39,-22.07,-5.93,2.66,하나투어
ROE,16.83,4.16,6.62,4.28,-4.22,-94.1,-27.32,18.83,하나투어
EPS,2732.0,692.0,1135.0,753.0,-691.0,-11453.0,-2525.0,1588.0,하나투어
BPS,20021.0,19237.0,20909.0,20131.0,18487.0,13158.0,10205.0,11539.0,하나투어
DPS,1500.0,1500.0,1500.0,1300.0,1000.0,400.0,400.0,800.0,하나투어
PER,42.09,95.55,90.75,91.34,0.0,0.0,0.0,24.72,하나투어
PBR,5.74,3.44,4.93,3.42,2.76,2.98,3.85,3.4,하나투어
발행주식수,11616.0,11616.0,11616.0,11616.0,11616.0,0.0,0.0,0.0,하나투어
배당수익률,1.3,2.27,1.46,1.89,1.96,0.0,0.0,0.0,하나투어
