,positive,pos_count,negative,neg_count,keyword
0,최고,1586,의혹,741.0,삼성전자
1,역대,794,산재,715.0,삼성전자
2,상승,704,하락,46.0,삼성전자
3,출시,176,기소,30.0,삼성전자
4,협력,98,리스크,11.0,삼성전자
5,돌파,33,혐의,11.0,삼성전자
6,전망,24,약세,10.0,삼성전자
7,주목,23,횡령,10.0,삼성전자
8,증가,22,문제,7.0,삼성전자
9,수상,22,우려,6.0,삼성전자
10,신기록,18,논란,5.0,삼성전자
11,신제품,13,매각,4.0,삼성전자
12,체결,6,눈물,4.0,삼성전자
13,오픈,5,위반,3.0,삼성전자
14,제휴,3,적발,3.0,삼성전자
15,진출,3,여파,1.0,삼성전자
16,진화,3,게이트,1.0,삼성전자
17,대박,3,피해,1.0,삼성전자
18,유치,3,불똥,1.0,삼성전자
19,돌풍,2,0,0.0,삼성전자
20,인기,2,0,0.0,삼성전자
21,기부,2,0,0.0,삼성전자
22,이목,2,0,0.0,삼성전자
23,팝업,2,0,0.0,삼성전자
24,순항,2,0,0.0,삼성전자
25,맛집,1,0,0.0,삼성전자
26,대세,1,0,0.0,삼성전자
27,열풍,1,0,0.0,삼성전자
28,승인,1,0,0.0,삼성전자
29,부상,1,0,0.0,삼성전자
