,title,keyword
0,'최대실적' 셀트리온...바이오 왕좌 굳힌다,셀트리온
1,"셀트리온, 분기 사상 최대 실적 달성…영업이익률 44.7%",셀트리온
2,"셀트리온, 3분기 영업익 2453억원…분기 최대 실적",셀트리온
3,"‘제약 매출 1위’ 셀트리온⋅‘매출 1조클럽’ 삼바, 바이오 2강 존재감 ‘부...",셀트리온
4,"셀트리온, 3분기 영업이익 2,453억원…사상 최대",셀트리온
5,"셀트리온, 美 류마티스학회서 CT-P17 임상 결과 발표",셀트리온
6,"셀트리온, 3분기 매출 5488억 달성",셀트리온
7,"셀트리온, 자가면역질환 치료제 임상3상 결과 발표",셀트리온
8,"셀트리온, 램시마SC가 향후 주가 업사이드 변수-하나",셀트리온
9,"[시그널] 셀트리온, 싱가포르 신설 법인에 3,200억 증자",셀트리온
10,"셀트리온, 코로나19 항체 치료제 초기 치료효과 확인",셀트리온
11,"유안타證“셀트리온,3분기 이어 4분기 호실적 기대”",셀트리온
12,"셀트리온 코로나19 치료제, 임상1상 효과 확인",셀트리온
13,"셀트리온, 내년 견고한 이익증가 기대-한국투자",셀트리온
14,"셀트리온, 셀트리온 아시아 퍼시픽 주식 3189억원 취득",셀트리온
15,"[TF특징주] 바이오 왕자 굳힌 셀트리온, 이 와중에 주가는 하락",셀트리온
16,"셀트리온, 3Q 호실적…신제품 판매 실적이 관건-KTB",셀트리온
17,"'어닝서프라이즈' 셀트리온, 3Q 영업익 2453억",셀트리온
18,"셀트리온, 3분기 영업익 2453억·매출액 5488억..""사상 최대""",셀트리온
19,"셀트리온, '사상 최대' 분기 실적…글로벌 바이오의약품 확대 통했다",셀트리온
20,"셀트리온, 코로나19 항체 치료제 경증환자에 효과 확인",셀트리온
21,"셀트리온, 미국류마티스학회서 CT-P17 임상 결과 발표",셀트리온
22,"셀트리온 ""코로나19 항체치료제, 경증환자 초기 치료효과 확인""",셀트리온
23,"셀트리온 휴미라 복제약, 임상 1·3상에서 효과·안전성 증명",셀트리온
24,"셀트리온, 미국류마티스학회(ACR)서 CT-P17 임상 결과 발표",셀트리온
25,"셀트리온, 3분기 실적 시장 기대치 상회...투자의견 '매수' [한화투자증권]",셀트리온
26,"[더벨]셀트리온, 다케다 아·태 사업 인수에 3200억 쏜다",셀트리온
27,"셀트리온 ""휴미라 시밀러, 임상 1·3상에서 오리지널과 동등""",셀트리온
28,"셀트리온, 올 3분기 매출 5488억원 기록...전년 동기 대비 89.9% 성장",셀트리온
29,"셀트리온,복제약ㆍ위탁생산으로 3분기 영업익 분기 역대 최대",셀트리온
30,"셀트리온 ""셀트리온 아시아 퍼시픽 주식 3천189억 원에 취득""",셀트리온
31,"셀트리온 코로나 항체치료제, 임상1상서 효과 확인",셀트리온
32,"셀트리온, 美류마티스학회서 `휴미라` 바이오시밀러 임상 결과 발표",셀트리온
33,올해 3분기 대형제약사들 희비 엇갈려...셀트리온 매출 89%↑ 급증 동아ST 10...,셀트리온
34,"[Hot-Line] ""셀트리온, 긍정적 모멘텀 확인…주가 우상향""",셀트리온
35,"셀트리온, 3분기 영업이익 사상 최대···전년 대비 137.8% 증가",셀트리온
36,"[김창수의 e뉴스 브리핑] “사상 최대 실적” 셀트리온 3분기 영업익, 전년比...",셀트리온
37,"셀트리온, 美 류마티스학회서 'CT-P17' 임상 결과 발표",셀트리온
38,"셀트리온, 3분기 영업익 2453억원...분기 최대 실적",셀트리온
39,"셀트리온3사 SK바이오팜 주가 상승, 삼성바이오로직스는 하락",셀트리온
40,"셀트리온, 코로나19 항체 치료제 ""초기 치료 효과 확인""…임상1상 결과 발표",셀트리온
41,"셀트리온, 미국류마티스학회서 'CT-P17' 임상 결과 발표",셀트리온
42,"셀트리온 ""코로나19 항체치료제, 임상 1상서 회복기간 44% 단축""",셀트리온
43,"[장 마감 후 공시] 셀트리온 싱가포르 종속회사, 3200억 규모 유상증자 결정外",셀트리온
44,셀트리온 “항체치료제 CT-P59 초기 바이러스 농도 높은 환자에 더 효과적”,셀트리온
45,바이든 키워드는 ‘진단키트·바이오시밀러’…셀트리온 날개 단다,셀트리온
46,"셀트리온, 코로나19 초기 치료효과 확인",셀트리온
47,"셀트리온, 3분기 영업이익 2452억원...전년比 138% ↑",셀트리온
48,"셀트리온 ""코로나19 항체치료제, 임상 1상서 회복 기간 44% 단축""",셀트리온
49,"[공시] 셀트리온 아시아 퍼시픽, 3189억원 규모 주주배정 유증 결정",셀트리온
50,"셀트리온, 'CT-P59' 코로나19 초기 치료효과 확인",셀트리온
51,"셀트리온, 코로나19 치료제 초기 치료효과 확인",셀트리온
52,"셀트리온, 코로나 항체치료제 1상서 '초기 치료효과' 확인",셀트리온
53,"셀트리온, 학술대회서 코로나19 항체치료제 임상 발표",셀트리온
54,셀트리온 '코로나 항체치료제' 임상1상서 조기치료 효과 봤다,셀트리온
55,"셀트리온, 3189억원 규모 타법인 주식 및 출자증권 취득 결정",셀트리온
56,"“10년 만에 라이징 스타에서 마스터로”… 서정진 셀트리온 회장, ‘EY 최우...",셀트리온
57,"셀트리온, 3분기 영업익 2453억원...전년비 137.79% 증가",셀트리온
58,"셀트리온 코로나19 항체 치료제 ‘CT-P59’, “초기 치료효과 확인”",셀트리온
59,"셀트리온, CT-P59 코로나19 초기 치료 효과 확인",셀트리온
