,title,keyword
0,하나투어 웰니스 관광상품 구매하면 국내 항공권이 무료,하나투어
1,"'날고, 오르고, 걷고'…고창군, 하나투어와 '고창레포츠' 상품 출시",하나투어
2,"[특징주] 화이자 백신 소식에 여행주 상승, 하나투어 12%↑",하나투어
3,"""화이자 백신 개발"" 골골앓던 하나투어·모두투어 급등",하나투어
4,"화이자 백신 90%효과, 대한항공·노랑풍선·모두투어·하나투어 급등",하나투어
5,"하나투어 급등 이어 노랑풍선·모두투어 급등, 여행주 다시 상승 시동거나…특...",하나투어
6,[여행 관련주] 화이자 백신효과 소식에 하나투어·노랑풍선 급등세 '대한항공...,하나투어
7,"하나투어 -94.5% 모두투어 -95.8%…여행업계 ""이대로는 전멸 불가피""",하나투어
8,"'출발 전 자가진단'…하나투어, 안심여행 체크리스트 제공",하나투어
9,면세업계 생사여탈권 쥔 정부…특허수수료 감면 안하나 못하나,하나투어
10,"하나투어, 안전 위한 '안심여행 체크리스트' 론칭",하나투어
11,1·2위 여행사 하나·모두투어 3분기에도 대규모 적자,하나투어
12,"하나투어, 3분기 영업손실 302억원… 송출객 99% 급감",하나투어
13,코로나-19발 항공 여행업 쇼크 어떻게 대응해야 하나,하나투어
14,하나투어 3Q 영업손실 302억원…적자전환,하나투어
15,"허리띠 졸라매고 국내 눈 돌린 하나투어, ""최악은 면했는데….""",하나투어
16,[여행 관련주] 화이자 백신효과 소식에 하나투어·노랑풍선 급등세 '대한항공...,하나투어
17,하나투어 3분기 영업손실 302억원…적자폭 991%↑,하나투어
18,"하나투어, 힐링 여행 기획전 ‘쉼표 여행’",하나투어
19,"하나투어, 3Q 영업손실 302억…전년比 적자폭 992%↑",하나투어
20,"하나투어, 내년에는 손실의 상당부분 회복할 전망",하나투어
21,"[공시]하나투어, 3분기 영업손실 302억…적자 폭 확대",하나투어
22,관광스타트업 9곳과 하나투어 협업 검토,하나투어
23,"[실적발표] 오이솔루션, 현대종합상사, 하나투어",하나투어
24,"하나투어·모두투어, 3분기도 대규모 적자",하나투어
25,"하나투어, 잠시 쉬어가는 힐링 여행",하나투어
26,"하나투어, 분기 수백억 적자로 현금고갈 우려-현대차",하나투어
27,"국내로 눈 돌린 '하나', 버티기 돌입 '모두'…누가 살아날까",하나투어
28,"""하나투어, 수백억 적자 불가피…내년 유동성 문제 불거질 수도""",하나투어
29,몸과 마음 치유할 수 있는 하나투어 '가을 쉼표 여행',하나투어
30,"[비즈 스톡] 하나투어 대한항공 주가, 화이자 '코로나 백신' 개발 기대감에 ↑",하나투어
31,"""하나투어 주가 상승 쉽지 않아"", 코로나19로 유동성 위기 가능성",하나투어
32,하나투어 ‘스카이라인 여행’ 판매 당일 전상품 ‘완판’,하나투어
33,"지친 일상서 벗어나는 휴식, 하나투어, 힐링 ‘쉼표 여행’ 기획전",하나투어
34,"[특징주]하나투어, 유동성 우려에 사흘째 약세",하나투어
35,백신 기대감? 하나투어·노랑풍선·모두투어 등 급등세,하나투어
36,"""어두운 터널 지났다?"" 렘데시비르 승인에 모두·하나투어 '들썩'",하나투어
37,"하나투어, 올해 소멸예정 마일리지 1년 연장키로",하나투어
38,팬데믹 종식 기대감에 여행-항공 관련주 주목…노랑풍선-하나투어-진에어 등 ...,하나투어
39,"하나투어, 조직개편·인사 단행… ""포스트 코로나 대비""",하나투어
40,"관광公, 하나투어와 관광스타트업간 협업의 장 마련",하나투어
41,"""해외 여행가는 척""… 하나투어·아시아나, 국내 상공 비행 상품 출시",하나투어
42,"하나투어, ‘가을 먹킷-리스트’ 기획전…제철 식도락여행",하나투어
43,방역 마친 하나투어 본사,하나투어
44,하나투어 매출 '1천937억→96억'…여행사 경영난에 직원도 이탈,하나투어
45,"하나투어, '가을 먹킷-리스트 도장깨기' 기획전 오픈",하나투어
46,"기분만 내볼까…하나투어, 국내 최초 '가상 해외여행'",하나투어
47,"문대통령 비하 여행사 안내문 논란…하나투어 ""우리와 무관""",하나투어
48,"영주시-하나투어, 지역관광 활성화 MOU",하나투어
49,여행사 매출 2분기도 '수렁'…하나투어 무급휴직 돌입,하나투어
50,"하나투어 ""문 대통령 비하 대리점은 별도 사업자""",하나투어
51,"‘최악 위기’ 하나투어, 면세업 철수 수순 밟을까",하나투어
52,"하나투어, 교민 위한 베트남 전세기 운영 대행",하나투어
53,‘문재앙 코로나로…’ 대리점 안내문 논란…하나투어 “반드시 조치”,하나투어
54,"하나투어, 스타트업과의 만남 추진",하나투어
55,"하나투어, 소비자중심경영 우수기업 5회 연속 인증",하나투어
56,"하나투어, 차세대 여행 플랫폼 '하나허브' 개장",하나투어
57,"'대규모 고객정보 유출' 하나투어에 벌금 1,000만원 선고",하나투어
58,마리아나제도 테마 'A380 스카이라인투어' 행사 성료 했다.,하나투어
