,positive,pos_count,negative,neg_count,keyword
0,돌파,2716.0,직격탄,2781,하나투어
1,상승,152.0,하락,2384,하나투어
2,출시,57.0,논란,60,하나투어
3,인기,40.0,손실,56,하나투어
4,오픈,36.0,여파,56,하나투어
5,전망,28.0,최악,42,하나투어
6,체결,17.0,중단,42,하나투어
7,트렌드,16.0,급감,41,하나투어
8,주목,11.0,포기,28,하나투어
9,역대,10.0,반토막,28,하나투어
10,증가,9.0,급락,27,하나투어
11,대세,9.0,우려,22,하나투어
12,승인,8.0,폐업,20,하나투어
13,협력,8.0,불매,20,하나투어
14,유치,7.0,피해,16,하나투어
15,최고,6.0,위반,13,하나투어
16,미소,6.0,눈물,11,하나투어
17,기부,3.0,매각,9,하나투어
18,수상,3.0,울상,9,하나투어
19,진출,2.0,불만,8,하나투어
20,불티,2.0,해지,6,하나투어
21,부상,1.0,약세,4,하나투어
22,0,0.0,문제,3,하나투어
23,0,0.0,참혹,3,하나투어
24,0,0.0,일베,3,하나투어
25,0,0.0,초토화,3,하나투어
26,0,0.0,발끈,2,하나투어
27,0,0.0,리스크,2,하나투어
28,0,0.0,폐점,2,하나투어
29,0,0.0,호소,2,하나투어
30,0,0.0,파문,1,하나투어
31,0,0.0,부채,1,하나투어
32,0,0.0,침해,1,하나투어
33,0,0.0,불명예,1,하나투어
34,0,0.0,한숨,1,하나투어
35,0,0.0,갑질,1,하나투어
36,0,0.0,소송,1,하나투어
37,0,0.0,혐의,1,하나투어
38,0,0.0,불똥,1,하나투어
39,0,0.0,포화,1,하나투어
