,title,keyword
0,광주·전남 통합 분위기 고조될까…공항 시민여론조사 관심,대한공항
1,"道-의회, 제2공항 여론조사 방식두고 의견차",대한공항
2,"정 총리 ""군 공항 이전, 광주·전남 상호 합의가 우선""",대한공항
3,"백혜련, 수원군공항 이전 민·군통합개발 요청",대한공항
4,통합신공항 건설 '주민 소통 창구' 군위·의성에 운영,대한공항
5,“경운산·임호산 안 깎는 김해신공항 원천무효”,대한공항
6,대구경북통합신공항 현장소통사무실 문 열어,대한공항
7,"박민식, 부산시장 출마 “신공항 문제 매듭”",대한공항
8,행정통합 훈풍 속 민간공항 이전 운명은?,대한공항
9,"경남도의회 건설소방위, 동남신공항문제 집중 거론",대한공항
10,가덕도 신공항 다시 불붙나? 직접 수혜지 거제 관심,대한공항
11,일본의 첫 우주공항 후보지는 '도쿄항',대한공항
12,"道-의회, 제2공항 여론조사 방식두고 의견차",대한공항
13,김해신공항 ‘안전성 논란’ 결론 임박,대한공항
14,‘가덕도 신공항'당정 갈등 또 다른 뇌관되나…,대한공항
15,"백령공항 건설 청신호…내달 기재부 심의, 통과 뒤 예타",대한공항
16,행정통합 훈풍 속 민간공항 이전 운명은?,대한공항
17,"경남도의회 건설소방위, 동남신공항문제 집중 거론",대한공항
18,"정 총리 ""군 공항 이전, 광주·전남 상호 합의가 우선""",대한공항
19,"백혜련, 수원군공항 이전 민·군통합개발 요청",대한공항
20,"수원·화성시, 수원 군공항 이전, 국방위 논의 첫발…해법은?",대한공항
21,"""가덕도 신공항 만들고 부산 경남 통합하자""",대한공항
22,인천공항공사 '국토교통 교육기관 발전협의회' 개최,대한공항
23,"김태년, ""국토부 2차관 들어오라""며 욕설…신공항 놓고 당정 또 삐걱",대한공항
24,“부산시와 협의해야”…김해신공항 백지화?,대한공항
25,"경기도의회, 도 과실로 면허반납 · 손실 입은 용남공항리무진 보상 촉구",대한공항
26,가덕신공항 용역비 증액 여야 힘 모으는데…안철수는 발목잡기,대한공항
27,제2공항에 대한 여론조사를 말하다,대한공항
28,인천 백령공항 건설 청신호…내달 기재부 심의,대한공항
29,"백령공항 건설 내달 기재부 심의 통과하면 예타 조사···옹진군 ""조속 추진...",대한공항
30,군공항 이전 특별법 국회 통과할까…상임위 논의 시작,대한공항
31,[사설] 또 들춘 가덕도 신공항…국정시스템보다 선거가 우선인가,대한공항
32,가덕신공항 타당성 검토 용역비 20억 확보,대한공항
33,가덕신공항 검증 용역비 진통 끝 확보,대한공항
34,제2공항에 대한 여론조사를 말하다.(1),대한공항
35,가덕신공항 등 PK 숙원 풀기에 여야 ‘통 큰’ 예산 공조,대한공항
36,공항 여론조사 마무리..11일 발표,대한공항
37,제주 제2공항 여론조사 셈법 제각각,대한공항
38,"김포공항 주차대행 'SK주차장', 주차비 할인 '프로모션' 통해 요금 인하",대한공항
39,"""카카오모빌리티·인천공항 모범기업“ OECD가 추켜세운 까닭",대한공항
40,"여, 부산시장 보선 '가덕도 신공항' 포퓰리즘 논란",대한공항
41,“가덕신공항 힘 싣는다”…적정성 검토,대한공항
42,"김현미 “증액 못해” 김태년 “차관 불러”… 당정, 가덕도 신공항 예산 놓고...",대한공항
43,"'가덕도 신공항' 밀어붙이기, 야당 동조에 탄력",대한공항
44,광주 군 공항 소음 영향도 조사 이달 내 시작,대한공항
45,이낙연 “가덕도 신공항 부울경 희망고문 끝낼 것”,대한공항
46,가덕신공항 연구 예산 20억원 증액,대한공항
47,"신동근 ""9호선~공항철도 직결 비용 서울시가 부담해야""",대한공항
48,비엔나국제공항 도착하는 황의조,대한공항
49,"대구시, 대만 8대 주요도시서 대구공항 홍보",대한공항
50,"경기도교육청, 수원군공항 소음 피해 첫 실태조사",대한공항
51,"이낙연 “동남권 관문공항, 희망고문 끝”",대한공항
52,"김포공항 주차대행 'SK주차장', 주차비 할인 프로모션으로 요금 인하",대한공항
53,“제주 제2공항 건설사업 갈등관리 필요”,대한공항
54,"여야, 가덕도 신공항 용역비 내년 예산 반영 놓고 국토부와 신경전",대한공항
55,여야 ‘가덕신공항 예산 반영’ 한 목소리…김현미는 “어렵다”,대한공항
56,인천공항 입국 60대 미국 국적 승무원 확진…지역 누적 1071명,대한공항
57,공항철도 영종구간 올해는 운임요금 개편 이뤄질까,대한공항
58,"김해공항 소음피해 주민, 최대 45만원 배상받는다",대한공항
59,제2공항 도민의견 수렴 ‘여론조사’로 잠정 합의…난제도,대한공항
60,무안공항 9월 이용객 130명···국제선 사라진 지방공항의 비명,대한공항
61,"국민의힘 ""숙원 사업인 제주 제2공항…적극 지원""",대한공항
62,"군비행장 주변 소음피해 주민, 민간공항 수준 보상·지원 받아야",대한공항
63,"제주공항면세점, 커뮤니티지수 대폭 상승하며 한 계단 올라서... 2020년 11월...",대한공항
64,국민의힘 지도부 가덕신공항 지원 약속,대한공항
65,[FN패트롤]광주 민간공항 이전 반대여론에 난항,대한공항
66,인천공항공사 새 사장 찾는다,대한공항
67,"""공항이전 문의는 여기로"" 대구시, 군위·의성에 현장 소통 사무실 운영",대한공항
68,"이필근 경기도의원, '정당하게 면허받은 용남공항리무진' 손해 지적",대한공항
69,"인천공항공사, 국토부 산하 13개 교육기관 비대면 경연대회 개최",대한공항
70,"제주, 제 2공항 여론 조사 철회 요구",대한공항
71,김포공항 테러 사건의 진실은 무엇인가,대한공항
72,"""제주 제2공항 도민 여론 수렴은 지역 가중치 없어야""",대한공항
73,"'부산시장 선거' 눈 먼 국민의힘…""가덕도, 인천공항과 '투톱'으로""",대한공항
74,김현미의 이유 있는 가덕도 신공항 반대론,대한공항
75,"인천공항서 대테러훈련… 정세균 총리 ""선제적 테러 차단 중요""",대한공항
76,與 ‘가덕신공항 연구용역’ 국토부 예산 반영,대한공항
77,"김포공항주차대행 'SK주차장', 주차비 할인 및 프로모션으로 요금 낮춰",대한공항
78,소음 문제 없는 ‘가덕신공항’ 정당성 더 커졌다,대한공항
79,인천공항 새 사장 누구…전문경영인? 또 낙하산?,대한공항
80,"이낙연 ""동남권 신공항, 희망고문 끝낼 것""…김경수 ""지속적 관심을""",대한공항
81,정 총리 “이달 중 김해신공항 입장 정리”,대한공항
82,"인천시의회, GTX-D 및 공항철도~서울지하철 9호선 직결사업 등 광역교통망 현...",대한공항
83,"취약지 부산 찾은 이낙연, '가덕신공항' 선물보따리 풀었다",대한공항
84,[여론조사] 제주 제2공항 도민 의견 수렴 방안은?,대한공항
85,"인천공항서 대테러훈련…정총리 ""선제적 테러 차단 중요""",대한공항
86,공항철도·서울9호선 직결사업 긴급 간담회 개최,대한공항
87,부산 찾은 민주당 지도부 '가덕신공항 건설' 실현 약속,대한공항
88,도민여론조사 '현 제주공항 확충 VS 제2공항 건설',대한공항
89,영남 찾은 호남 출신 이낙연 “동남권 신공항 희망고문 끝낼 것”,대한공항
90,"김포공항 주차대행 'K주차장', ""주차 케어 시스템 및 주차비 할인 이벤트 구성...",대한공항
91,"한국공항공사 항공산업연-칸정보기술, 공동 연구개발 협약",대한공항
92,인천공항 배관시설 안전관리 드론 떴다,대한공항
93,제주 제2공항 도민의견수렴 '여론조사'...도-의회 잠정 '합의',대한공항
94,"인천공항공사, 공항 임대료·계류장사용료·시설사용료 감면혜택 '연장'",대한공항
95,제주공항 보행로 공사...보행자 차도로 내몰려 '아찔',대한공항
96,"""광주 민간공항 이전, 약속 지켜라""",대한공항
97,"배준영 의원, 공항철도·서울9호선 직결운행 위한 긴급 간담회 개최",대한공항
98,"공항철도, 한국식품학회 주최 대한민국상품대상 대상",대한공항
99,“광주공항만 이전은 안돼”…내일부터 여론조사 실시,대한공항
100,공항철도 영종구간 올해는 운임요금 개편 이뤄질까,대한공항
101,광주시·전남도 ‘군공항 이전 갈등’ 재연되나,대한공항
102,"여야 합심한 가덕신공항 용역비, 김현미 반대에 절충안으로",대한공항
103,“희망고문 끝내겠다”…‘가덕신공항 지지’,대한공항
104,‘공항 이전’ 여론조사 완료…12일 정책권고안 통보,대한공항
105,"백혜련의원, 국토부장관에게 수원군공항 이전 관련 민·군통합개발방안 고려해...",대한공항
106,"이낙연 약속 '가덕신공항' 예산, 김현미 반대에 '절충안' 반영",대한공항
107,"이필근 경기도의원, 용남공항리무진의 지적",대한공항
108,"김해공항 소음피해 주민, 최대 45만원 배상받는다",대한공항
109,"인천국제공항공사, 국토교통 교육기관 온라인 발전협의회 및 교육훈련 경연대...",대한공항
110,"인천국제공항공사, 국토교통 교육기관 온라인 발전협의회 및 교육훈련 경연대...",대한공항
111,"가덕신공항 예산 놓고 당정 마찰…김태년 ""국토차관 들어와라""(종합)",대한공항
112,국토부 반대에서 국회에서 끼워 넣은 가덕도 신공항 예산,대한공항
113,제2공항 도민의견 수렴 ‘여론조사’로 잠정 합의…난제도,대한공항
114,무안공항 9월 이용객 130명···국제선 사라진 지방공항의 비명,대한공항
115,"김포공항 주차대행 SK주차장, 국내 여행객 위해 특별 주차비 할인 프로모션 진...",대한공항
116,"국민의힘 ""숙원 사업인 제주 제2공항…적극 지원""",대한공항
117,"군비행장 주변 소음피해 주민, 민간공항 수준 보상·지원 받아야",대한공항
118,[기고] 제2공항에 대한 여론조사를 말하다,대한공항
119,"제주공항면세점, 커뮤니티지수 대폭 상승하며 한 계단 올라서... 2020년 11월...",대한공항
120,‘가덕신공항’ 당정 파열음… 공방 끝 적정선 조사비 20억 증액,대한공항
121,제주 제2공항 문제 도민 의견 수렴 방안 논의 ‘속도’,대한공항
122,"국토위, 진통 끝 '가덕도 신공항' 용역비 증액",대한공항
123,"김포공항 주차대행 ‘SK주차장’, 국내 여행객을 위한 주차비 할인 프로모션 ...",대한공항
124,국민의힘 지도부 가덕신공항 지원 약속,대한공항
125,[FN패트롤]광주 민간공항 이전 반대여론에 난항,대한공항
126,인천공항공사 새 사장 찾는다,대한공항
127,"""공항이전 문의는 여기로"" 대구시, 군위·의성에 현장 소통 사무실 운영",대한공항
128,"이필근 경기도의원, '정당하게 면허받은 용남공항리무진' 손해 지적",대한공항
129,"인천공항공사, 국토부 산하 13개 교육기관 비대면 경연대회 개최",대한공항
130,"이필근 경기도의원, '정당하게 면허받은 용남공항리무진' 손해 지적",대한공항
131,"인천공항공사, 국토부 산하 13개 교육기관 비대면 경연대회 개최",대한공항
132,"이낙연이 약속한 가덕신공항, 김현미 ""용역비 증액 수용 불가→절충안 수용""",대한공항
133,보궐로 뜨는 '가덕신공항',대한공항
134,"이낙연, 가덕신공항 희망고문 끝내겠다",대한공항
135,제주 제2공항 도민 의견수렴 탄력…도 '한차례 여론조사' 제안,대한공항
136,"제주, 제 2공항 여론 조사 철회 요구",대한공항
137,이낙연 약속한 가덕신공항 예산에 김현미 '반대'…진통 끝에 결국 절충,대한공항
138,"법원 ""김해공항 소음피해 입은 주민에 정부가 손해배상해야""",대한공항
139,"대구시·경북도, 군위·의성에 공항이전 상담실 운영",대한공항
140,"법원 ""김해공항 소음피해 입은 주민에 정부가 손해배상해야""",대한공항
141,"대구시·경북도, 군위·의성에 공항이전 상담실 운영",대한공항
142,김포공항 테러 사건의 진실은 무엇인가,대한공항
143,"""제주 제2공항 도민 여론 수렴은 지역 가중치 없어야""",대한공항
144,"인천국제공항공사, 국토교통 교육기관 온라인 발전협의회 및 교육훈련 경연대...",대한공항
145,"국민의힘 ""가덕신공항 결정되면 적극 돕겠다""",대한공항
146,제주 제2공항 도민의견 수렴 '여론조사' 가닥,대한공항
