,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,2006535.0,2018667.0,2395754.0,2437714.0,2304009.0,2387040.0,2612359.0,2797126.0,삼성전자
1,영업이익,264134.0,292407.0,536450.0,588867.0,277685.0,371392.0,462794.0,546977.0,삼성전자
2,영업이익(발표기준),264134.0,292407.0,536450.0,588867.0,277685.0,0.0,0.0,0.0,삼성전자
3,당기순이익,190601.0,227261.0,421867.0,443449.0,217389.0,279078.0,351781.0,416898.0,삼성전자
4,지배주주순이익,186946.0,224157.0,413446.0,438909.0,215051.0,277108.0,349575.0,413096.0,삼성전자
5,비지배주주순이익,3655.0,3104.0,8422.0,4540.0,2338.0,0.0,0.0,0.0,삼성전자
6,자산총계,2421795.0,2621743.0,3017521.0,3393572.0,3525645.0,3755718.0,4054861.0,4415713.0,삼성전자
7,부채총계,631197.0,692113.0,872607.0,916041.0,896841.0,927374.0,985794.0,1036092.0,삼성전자
8,자본총계,1790598.0,1929630.0,2144914.0,2477532.0,2628804.0,2828345.0,3069068.0,3379622.0,삼성전자
9,지배주주지분,1728768.0,1864243.0,2072134.0,2400690.0,2549155.0,2745045.0,2985807.0,3295118.0,삼성전자
10,비지배주주지분,61830.0,65387.0,72780.0,76842.0,79649.0,83300.0,83261.0,84504.0,삼성전자
11,자본금,8975.0,8975.0,8975.0,8975.0,8975.0,8979.0,8979.0,8979.0,삼성전자
12,부채비율,35.25,35.87,40.68,36.97,34.12,32.79,32.12,30.66,삼성전자
13,유보율,20659.47,21757.56,23681.42,26648.22,28302.4,0.0,0.0,0.0,삼성전자
14,영업이익률,13.16,14.49,22.39,24.16,12.05,15.56,17.72,19.55,삼성전자
15,지배주주순이익률,9.32,11.1,17.26,18.0,9.33,11.61,13.38,14.77,삼성전자
16,ROA,8.07,9.01,14.96,13.83,6.28,7.67,9.01,9.84,삼성전자
17,ROE,11.16,12.48,21.01,19.63,8.69,10.47,12.2,13.15,삼성전자
18,EPS,2198.0,2735.0,5421.0,6024.0,3166.0,4080.0,5146.0,6081.0,삼성전자
19,BPS,21903.0,24340.0,28971.0,35342.0,37528.0,40412.0,43956.0,48510.0,삼성전자
20,DPS,420.0,570.0,850.0,1416.0,1416.0,1561.0,1560.0,1543.0,삼성전자
21,PER,11.47,13.18,9.4,6.42,17.63,14.95,11.85,10.03,삼성전자
22,PBR,1.15,1.48,1.76,1.1,1.49,1.51,1.39,1.26,삼성전자
23,발행주식수,7364967.0,7033967.0,6454925.0,5969783.0,5969783.0,0.0,0.0,0.0,삼성전자
24,배당수익률,1.67,1.58,1.67,3.66,2.54,0.0,0.0,0.0,삼성전자
