,title,keyword
0,"'어닝 서프라이즈' 셀트리온, K바이오 왕좌 오르나",셀트리온
1,"셀트리온, 3분기 영업익 2453억원…분기 최대 실적",셀트리온
2,"셀트리온, 3분기 사상 최대 실적… 글로벌 제약바이오사 도약 [포춘클럽 라운...",셀트리온
3,"‘진격’의 셀트리온, 제약·바이오 선두 정조준",셀트리온
4,"셀트리온, 분기 사상 최대 실적 달성…영업이익률 44.7%",셀트리온
5,"셀트리온, 3분기 사상 최대 매출·영업익…'어닝 서프라이즈'",셀트리온
6,셀트리온 3분기 실적 최대 기록,셀트리온
7,셀트리온 3분기 매출 사상 최대,셀트리온
8,셀트리온 3분기 매출 5488억 사상 최대,셀트리온
9,"셀트리온, 3분기 사상 최대 매출 기록...영업익 137.79% ↑",셀트리온
10,셀트리온 3분기 매출 5488억 사상 최대,셀트리온
11,"셀트리온, 3Q 영업익 전년동기比 137.8% '점프'",셀트리온
12,"셀트리온, 자가면역질환 치료제 임상3상 결과 발표",셀트리온
13,국내 제약사 코로나 치료제 개발 활발 셀트리온 등 다국가 임상시험 진행중,셀트리온
14,"셀트리온, 3분기 사상 최대 매출 기록...영업익 137.79% ↑",셀트리온
15,"셀트리온, 미국류마티스학회서 'CT-P17' 임상 결과 발표",셀트리온
16,"셀트리온, 램시마SC가 향후 주가 업사이드 변수-하나",셀트리온
17,"‘제약 매출 1위’ 셀트리온⋅‘매출 1조클럽’ 삼바, 바이오 2강 존재감 ‘부...",셀트리온
18,"[시그널] 셀트리온, 싱가포르 신설 법인에 3,200억 증자",셀트리온
19,"셀트리온, 코로나19 항체 치료제 초기 치료효과 확인",셀트리온
20,"셀트리온, 내년 견고한 이익증가 기대-한국투자",셀트리온
21,"유안타證“셀트리온,3분기 이어 4분기 호실적 기대”",셀트리온
22,"셀트리온 코로나19 치료제, 임상1상 효과 확인",셀트리온
23,"셀트리온3사 삼성바이오로직스 주가 모두 하락, SK바이오팜은 상승",셀트리온
24,"셀트리온, 셀트리온 아시아 퍼시픽 주식 3189억원 취득",셀트리온
25,"[TF특징주] 바이오 왕자 굳힌 셀트리온, 이 와중에 주가는 하락",셀트리온
