,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,1960.0,1941.0,1850.0,1874.0,1897.0,0.0,0.0,0.0,신풍제약
1,영업이익,42.0,96.0,90.0,69.0,20.0,0.0,0.0,0.0,신풍제약
2,영업이익(발표기준),42.0,96.0,90.0,69.0,20.0,0.0,0.0,0.0,신풍제약
3,당기순이익,15.0,-186.0,21.0,20.0,18.0,0.0,0.0,0.0,신풍제약
4,지배주주순이익,15.0,-186.0,21.0,20.0,17.0,0.0,0.0,0.0,신풍제약
5,비지배주주순이익,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,신풍제약
6,자산총계,4107.0,4165.0,3906.0,3851.0,3807.0,0.0,0.0,0.0,신풍제약
7,부채총계,2159.0,1996.0,1755.0,1735.0,1710.0,0.0,0.0,0.0,신풍제약
8,자본총계,1949.0,2168.0,2151.0,2117.0,2097.0,0.0,0.0,0.0,신풍제약
9,지배주주지분,1946.0,2165.0,2148.0,2106.0,2087.0,0.0,0.0,0.0,신풍제약
10,비지배주주지분,3.0,3.0,3.0,10.0,9.0,0.0,0.0,0.0,신풍제약
11,자본금,237.0,276.0,276.0,276.0,276.0,0.0,0.0,0.0,신풍제약
12,부채비율,110.78,92.06,81.58,81.96,81.55,0.0,0.0,0.0,신풍제약
13,유보율,769.9,727.16,720.94,705.77,698.8,0.0,0.0,0.0,신풍제약
14,영업이익률,2.16,4.93,4.88,3.69,1.04,0.0,0.0,0.0,신풍제약
15,지배주주순이익률,0.75,-9.58,1.14,1.05,0.89,0.0,0.0,0.0,신풍제약
16,ROA,0.36,-4.5,0.53,0.51,0.46,0.0,0.0,0.0,신풍제약
17,ROE,0.77,-9.04,0.98,0.92,0.8,0.0,0.0,0.0,신풍제약
18,EPS,31.0,-353.0,38.0,36.0,31.0,0.0,0.0,0.0,신풍제약
19,BPS,4349.0,4136.0,4105.0,4029.0,3994.0,0.0,0.0,0.0,신풍제약
20,DPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,신풍제약
21,PER,140.05,0.0,200.54,180.16,236.99,0.0,0.0,0.0,신풍제약
22,PBR,1.0,1.44,1.87,1.59,1.81,0.0,0.0,0.0,신풍제약
23,발행주식수,45218.0,52985.0,52985.0,52985.0,52985.0,0.0,0.0,0.0,신풍제약
24,배당수익률,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,신풍제약
