,date,close,volume,keyword
0,2020-10-30,262500,45051,한미약품
1,2020-10-29,270000,34736,한미약품
2,2020-10-28,273500,22665,한미약품
3,2020-10-27,271000,41807,한미약품
4,2020-10-26,275500,49375,한미약품
5,2020-10-23,283500,68407,한미약품
6,2020-10-22,271000,33935,한미약품
7,2020-10-21,273000,27976,한미약품
8,2020-10-20,272000,42087,한미약품
9,2020-10-19,278500,44482,한미약품
10,2020-10-16,282000,68431,한미약품
11,2020-10-15,267500,40406,한미약품
12,2020-10-14,274500,34651,한미약품
13,2020-10-13,278000,38301,한미약품
14,2020-10-12,286000,27601,한미약품
15,2020-10-08,287500,61125,한미약품
16,2020-10-07,288000,31546,한미약품
17,2020-10-06,286000,98198,한미약품
18,2020-10-05,273500,24295,한미약품
19,2020-09-29,273500,48690,한미약품
20,2020-09-28,267000,34776,한미약품
21,2020-09-25,262000,47222,한미약품
22,2020-09-24,262000,80286,한미약품
23,2020-09-23,276000,83710,한미약품
24,2020-09-22,285500,56621,한미약품
25,2020-09-21,295000,65696,한미약품
26,2020-09-18,288500,39836,한미약품
27,2020-09-17,288500,47429,한미약품
28,2020-09-16,292500,45749,한미약품
29,2020-09-15,292000,38183,한미약품
30,2020-09-14,293000,32206,한미약품
31,2020-09-11,293000,41523,한미약품
32,2020-09-10,291500,91407,한미약품
33,2020-09-09,294500,87266,한미약품
34,2020-09-08,304500,73201,한미약품
35,2020-09-07,302000,52317,한미약품
36,2020-09-04,300000,71537,한미약품
37,2020-09-03,306000,84350,한미약품
38,2020-09-02,309000,153008,한미약품
39,2020-09-01,304500,67783,한미약품
40,2020-08-31,306500,136640,한미약품
41,2020-08-28,313500,124155,한미약품
42,2020-08-27,304000,103383,한미약품
43,2020-08-26,317000,142210,한미약품
44,2020-08-25,307000,139237,한미약품
45,2020-08-24,294000,69272,한미약품
46,2020-08-21,289500,122597,한미약품
47,2020-08-20,299000,180564,한미약품
48,2020-08-19,296500,93254,한미약품
49,2020-08-18,291500,176877,한미약품
50,2020-08-14,306500,126477,한미약품
51,2020-08-13,313500,174411,한미약품
52,2020-08-12,321500,154253,한미약품
53,2020-08-11,319500,240139,한미약품
54,2020-08-10,324500,667247,한미약품
55,2020-08-07,353500,600912,한미약품
56,2020-08-06,355500,2818634,한미약품
57,2020-08-05,360500,514265,한미약품
58,2020-08-04,277500,265243,한미약품
59,2020-08-03,271500,630691,한미약품
60,2020-07-31,263500,107482,한미약품
